HHS,SHAPE_Leng,SHAPE_Area
Darling Downs,22.6489973372,8.0715079963
Gold Coast,4.99276499493,0.169102729129
Mackay,33.9399621659,7.86892430863
Metro South,8.29910501525,0.352669752941
South West,31.7777035543,29.0878824228
Sunshine Coast,8.99302979829,0.904242368339
Townsville,29.5468936391,12.8979491152
West Moreton,8.40358006232,0.86813072049
Wide Bay,21.0582804076,3.31241630671
Central West,41.7780489377,33.8680147914
North West,39.5255066859,21.759696684
Central Queensland,37.5287995231,9.85109254507
Cairns and Hinterland,26.6891484167,12.0337001432
Metro North,6.39366111069,0.360409724123
Torres and Cape,37.0309103105,10.8651205071
Childrens Health Queensland,0.00220524157164,3.82006349496e-7
